x,full_diff,gap_diff
0,1.04,0.11
1,2.72,0.35
2,0.04,0.24
3,0.02,0.44
4,0.16,0.30
5,0.54,0.23
6,0.84,0.15
7,0.28,0.60
8,1.02,0.15
9,0.26,0.23
10,0.01,0.38
11,0.32,0.43
12,0.23,0.44
13,0.14,0.18
14,0.66,0.13
15,0.49,0.11
16,0.55,0.12
17,0.33,0.32
18,0.54,0.35
19,0.38,0.26
20,1.64,0.25
21,0.95,0.25
22,1.97,0.10
23,2.23,0.94
24,1.91,0.38
25,2.15,0.45
26,1.68,0.27
27,0.54,0.01
28,2.08,0.06
29,5.18,0.15
30,3.49,0.17
31,0.11,0.03
32,2.69,0.08
33,3.31,0.10
34,1.07,0.12
35,2.90,0.06
36,3.29,0.11
37,1.37,0.08
38,1.24,0.06
39,3.11,0.03
40,0.90,0.40
41,0.30,0.23
42,0.70,0.04
43,1.34,0.29
44,1.37,0.05
45,0.52,0.18
46,0.43,0.36
47,1.22,1.70
48,1.31,0.01
49,0.68,0.72
50,1.80,0.13
51,1.16,0.36
52,3.29,0.54
53,1.80,0.05
54,1.43,0.43
55,1.23,0.33
56,0.57,0.11
57,0.62,1.27
58,0.48,0.01
59,1.06,3.40
60,1.83,1.13
61,0.83,1.40
62,0.46,0.86
63,3.54,0.92
64,0.52,0.69
65,3.61,1.85
66,0.25,2.37
67,0.90,1.16
68,2.41,2.30
69,3.32,1.14
70,2.80,0.14
71,4.02,0.60
72,2.33,0.00
73,1.80,0.09
74,0.03,0.22
75,1.15,0.47
76,4.30,0.38
77,3.74,0.39
78,0.67,0.45
79,1.40,0.24
80,0.74,0.12
81,1.35,0.35
82,0.60,0.39
83,2.49,0.46
84,0.84,0.47
85,0.11,0.68
86,0.43,0.50
87,0.50,0.68
88,0.67,0.20
89,1.72,0.46
90,2.84,0.30
91,1.44,0.27
92,1.01,0.31
93,1.25,0.13
94,0.65,0.34
95,0.62,0.07
96,1.02,0.74
97,0.04,0.61
98,0.62,0.24
99,0.46,0.24
100,1.72,0.29
101,1.74,0.85
102,0.48,0.56
103,1.45,0.22
104,0.46,0.53
105,0.01,1.99
106,0.44,0.59
107,1.47,2.22
108,1.43,1.25
109,2.40,2.93
110,28.52,97.47
111,13.24,46.68
112,0.02,0.04
113,0.72,0.28
114,5.69,0.20
115,5.97,0.35
116,2.78,0.28
117,2.05,0.28
118,3.22,0.22
119,3.51,0.32
120,3.88,0.22
121,1.17,0.83
122,0.44,0.57
123,3.19,0.36
124,0.76,0.67
125,1.04,0.09
126,5.51,0.31
127,0.94,0.49
128,0.16,0.24
129,0.47,0.46
130,0.42,0.22
131,1.54,0.38
132,1.03,0.36
133,0.49,0.13
134,0.42,1.29
135,0.58,0.26
136,6.32,0.55
137,6.91,0.70
138,0.28,0.70
139,0.06,0.36
140,0.36,0.55
141,1.57,0.12
142,1.47,0.12
143,0.42,0.32
144,1.72,0.02
145,0.49,0.04
146,0.33,0.17
147,0.58,0.04
148,1.00,0.10
149,0.26,0.03
150,0.02,0.09
151,0.05,0.22
152,0.11,0.06
153,0.05,0.03
154,0.27,0.03
155,0.99,0.05
156,0.02,0.01
157,0.11,0.05
158,1.63,0.03
159,1.30,0.51
160,1.54,0.88
161,11.42,43.19
162,25.86,88.16
163,2.31,1.74
164,1.57,0.27
165,0.20,0.52
166,1.19,0.24
167,0.29,0.15
168,0.11,0.07
169,0.66,0.05
170,1.20,0.04
171,0.47,0.08
172,1.61,0.08
173,0.48,0.08
174,1.32,0.05
175,0.90,0.08
176,0.76,0.12
177,0.44,0.06
178,0.49,0.06
179,0.12,0.28
180,0.02,0.31
181,0.69,0.43
182,1.11,0.23
183,0.00,0.04
184,0.42,0.13
185,1.96,0.04
186,1.90,0.15
187,1.50,0.11
188,1.15,0.02
189,0.19,0.03
190,0.11,0.01
191,0.70,0.21
192,0.67,0.11
193,0.42,0.05
194,0.00,0.08
195,0.13,0.05
196,0.44,0.27
197,0.06,0.15
198,0.55,0.19
199,0.07,0.15
200,0.08,0.12
201,0.29,0.04
202,1.21,0.21
203,1.73,0.26
204,1.10,0.33
205,0.59,0.20
206,0.47,0.24
207,0.49,0.17
208,0.32,0.98
209,0.25,0.73
210,1.55,2.70
211,0.19,0.53
212,0.21,1.79
213,0.48,2.25
214,0.42,0.60
215,1.05,2.45
216,0.87,0.46
217,0.24,1.44
218,0.06,0.70
219,1.12,0.68
220,0.53,1.81
221,1.07,3.00
222,0.72,1.79
223,0.28,0.36
224,1.81,3.27
225,1.79,9.87
226,2.08,0.47
227,1.30,0.58
228,0.12,0.61
229,2.95,4.08
230,4.86,2.40
231,1.50,2.27
232,2.14,5.81
233,0.99,2.75
234,0.09,5.79
235,2.52,13.61
236,1.61,5.37
237,4.34,11.56
238,3.23,11.65
239,4.04,11.60
240,1.59,2.97
241,1.40,4.15
242,2.17,5.08
243,0.80,1.18
244,1.85,1.17
245,5.00,2.74
246,2.50,0.96
247,4.96,8.47
248,2.45,0.79
249,3.11,5.38
250,2.80,5.37
251,4.21,2.89
252,4.84,4.54
253,4.94,0.09
254,1.35,4.16
255,2.00,2.34
256,2.13,2.27
257,1.66,0.47
258,1.46,1.03
259,1.21,1.33
260,0.08,0.97
261,1.96,1.74
262,3.00,2.55
263,3.16,2.49
264,3.36,5.94
265,3.80,8.17
266,2.59,7.12
267,2.60,8.90
268,1.81,8.42
269,1.16,7.43
270,1.76,8.59
271,1.70,8.90
272,0.64,6.79
273,2.02,4.59
274,2.87,0.40
275,4.18,0.92
276,4.19,0.49
277,2.12,0.20
278,1.07,0.21
279,0.79,0.04
280,0.19,0.09
281,0.82,0.25
282,1.46,0.25
283,0.87,0.21
284,0.55,0.24
285,1.33,0.03
286,1.08,0.16
287,0.50,0.13
288,0.33,0.11
289,0.58,0.29
290,0.02,0.29
291,1.06,0.59
292,0.97,0.58
293,0.65,0.56
294,0.53,0.19
295,0.00,0.00
296,0.13,0.21
297,0.08,0.05
298,0.35,0.42
299,0.12,0.46
300,0.32,0.50
301,0.23,0.62
302,0.46,0.29
303,0.32,0.87
304,0.11,0.17
305,0.34,0.34
306,0.56,0.48
307,0.58,0.45
308,0.55,0.21
309,0.65,0.17
310,0.60,0.27
311,0.36,0.74
312,0.25,0.13
313,0.36,0.23
314,0.29,0.19
315,0.20,0.67
316,0.56,0.61
317,0.79,0.61
318,0.56,0.38